Message ID,Source Vehicle,Destination Vehicle,Message Type,Message Content,Priority,Spam
170,Car D,Car E,Hazard,"Car on shoulder, use caution",Low,No
171,Car F,All Vehicles,Roadwork,"Bridge construction, use caution",Medium,No
172,Car G,Car H,Traffic,"Congestion, use alternate route",High,No
173,Car I,All Vehicles,Emergency,Report suspicious package on shoulder,High,No
174,Car J,Car K,Weather,Snow and ice expected,High,No
175,Car L,All Vehicles,Spam,Get rich quick scheme,Low,Yes
176,Car M,Car N,Roadwork,Center lane closed for paving,Medium,No
177,Car O,All Vehicles,Traffic,"Heavy traffic, consider alternate route",High,No
178,Car P,Car Q,Emergency,Medical emergency on shoulder,High,No
179,Car R,All Vehicles,Weather,Heat advisory in effect,Medium,No
180,Car S,Car T,Hazard,"Car on shoulder, use caution",Low,No
181,Car U,All Vehicles,Traffic,Road closed due to accident,High,No
182,Car V,Car W,Emergency,Test emergency message,High,No
183,Car X,All Vehicles,Weather,Tornado warning upgraded to category 5,High,No
184,Car Y,Car Z,Hazard,Car stopped in right lane,High,No
185,Car A,All Vehicles,Spam,Click here for a free trial,Low,Yes
186,Car B,Car C,Roadwork,Right lane closed for repair,Medium,No
187,Car D,All Vehicles,Traffic,Heavy truck traffic causing delays,Medium,No
188,Car E,Car F,Emergency,"Car accident, use caution",High,No
189,Car G,All Vehicles,Weather,Hurricane warning in effect,High,No
190,Car H,Car I,Hazard,Large object in the road,High,No
191,Car J,All Vehicles,Roadwork,Center lane closed for construction,Medium,No
192,Car K,Car L,Traffic,Delays due to accident,High,No
193,Car M,All Vehicles,Emergency,Report suspicious activity on highway,High,No
194,Car N,Car O,Weather,Severe thunderstorm warning upgraded to category 5,High,No
195,Car P,All Vehicles,Spam,You have won a free vacation!,Low,Yes
196,Car Q,Car R,Roadwork,Left lane closed for paving,Medium,No
197,Car S,All Vehicles,Traffic,Heavy congestion causing delays,High,No
198,Car T,Car U,Emergency,"Car accident, use caution",High,No
199,Car V,All Vehicles,Weather,Snowstorm warning in effect,High,No
200,Car W,Car X,Hazard,Car stalled in left lane,High,No
201,Car Y,All Vehicles,Traffic,Road closed due to construction,High,No
202,Car Z,Car A,Emergency,Test emergency message,High,No
203,Car B,All Vehicles,Weather,Severe thunderstorm approaching,High,No
204,Car C,Car D,Hazard,Car stalled in center lane,High,No
205,Car E,All Vehicles,Spam,You have been selected for a survey,Low,Yes
206,Car F,Car G,Roadwork,Exit ramp closed for construction,Medium,No
207,Car H,All Vehicles,Traffic,Heavy truck traffic causing delays,Medium,No
208,Car I,Car J,Emergency,Test emergency message,High,No
209,Car K,All Vehicles,Weather,Hurricane warning upgraded to category 5,High,No
210,Car L,Car M,Hazard,Car stopped in right lane,High,No
211,Car N,All Vehicles,Roadwork,Shoulder closed for construction,Medium,No
212,Car O,Car P,Traffic,Delays due to roadwork,Medium,No
213,Car Q,All Vehicles,Emergency,Report suspicious activity on highway,High,No
214,Car R,Car S,Weather,Blizzard warning upgraded to category 5,High,No
215,Car T,All Vehicles,Spam,You have been selected for a free trial,Low,Yes
216,Car U,Car V,Roadwork,Left lane closed for paving,Medium,No
217,Car W,All Vehicles,Traffic,"Congestion, use alternate route",High,No
218,Car X,Car Y,Emergency,"Car accident, use caution",High,No
219,Car Z,All Vehicles,Weather,Tornado warning in effect,High,No
220,Car A,Car B,Hazard,Car on fire on the shoulder,High,No
221,Car C,All Vehicles,Traffic,Delays due to accident,High,No
222,Car D,Car E,Emergency,Test emergency message,High,No
223,Car F,All Vehicles,Weather,Heat wave warning in effect,High,No
224,Car G,Car H,Hazard,Large object in the road,High,No
225,Car I,All Vehicles,Spam,Click here for a free gift,Low,Yes
226,Car J,Car K,Roadwork,Right lane closed for paving,Medium,No
227,Car L,All Vehicles,Traffic,Heavy truck traffic on highway,Medium,No
228,Car M,Car N,Emergency,Medical emergency on shoulder,High,No
229,Car O,All Vehicles,Weather,Severe thunderstorm warning,High,No
230,Car P,Car Q,Hazard,Car stalled in left lane,High,No
231,Car R,All Vehicles,Roadwork,"Bridge repair work, use caution",Medium,No
232,Car S,Car T,Traffic,"Congestion, expect delays",High,No
233,Car U,All Vehicles,Emergency,Report suspicious activity on shoulder,High,No
234,Car V,Car W,Weather,Freezing rain and sleet warning,High,No
235,Car X,All Vehicles,Spam,You have been selected for a prize,Low,Yes
236,Car Y,Car Z,Roadwork,Center lane closed for repair,Medium,No
237,Car A,All Vehicles,Traffic,Road closed due to flooding,High,No
238,Car B,Car C,Emergency,"Car accident with injuries, call 911",High,No
239,Car D,All Vehicles,Weather,Snow and ice warning in effect,High,No
240,Car E,Car F,Hazard,Car stalled in center lane,High,No
241,Car G,All Vehicles,Traffic,"Heavy congestion, consider alternate route",High,No
242,Car H,Car I,Emergency,Test emergency message,High,No
243,Car J,All Vehicles,Weather,Severe thunderstorm warning upgraded to category 5,High,No
244,Car K,Car L,Hazard,Large pothole in right lane,Medium,No
245,Car M,All Vehicles,Spam,Congratulations! You have been selected for a prize,Low,Yes
246,Car N,Car O,Roadwork,Right lane closed for maintenance,Medium,No
247,Car P,All Vehicles,Traffic,Delays due to heavy truck traffic,Medium,No
248,Car Q,Car R,Emergency,Medical emergency on highway,High,No
249,Car S,All Vehicles,Weather,Flood warning in effect,High,No
250,Car T,Car U,Hazard,"Car on shoulder, use caution",Low,No
251,Car U,All Vehicles,Weather,Dense fog advisory,Medium,No
252,Car V,Car W,Hazard,Fallen tree blocking road,High,No
253,Car X,All Vehicles,Roadwork,Lane closure for resurfacing,Medium,No
254,Car Y,Car Z,Traffic,"Congestion, consider alternate route",High,No
255,Car A,All Vehicles,Emergency,Test emergency broadcast,High,No
256,Car B,Car C,Hazard,Car swerving erratically,High,No
257,Car D,All Vehicles,Weather,Heavy rain and thunderstorms,High,No
258,Car E,Car F,Traffic,Delays due to accident,High,No
259,Car G,All Vehicles,Emergency,Report suspicious activity,High,No
260,Car H,Car I,Roadwork,Right lane closed for maintenance,Medium,No
261,Car J,All Vehicles,Traffic,Road closure due to an event,High,No
262,Car K,Car L,Emergency,Medical emergency on highway,High,No
263,Car M,All Vehicles,Weather,Severe storm warning,High,No
264,Car N,Car O,Hazard,Loose gravel on the road,Medium,No
265,Car P,All Vehicles,Roadwork,Construction ahead,Medium,No
266,Car Q,Car R,Traffic,Heavy traffic congestion,High,No
267,Car S,All Vehicles,Emergency,Test emergency message,High,No
268,Car T,Car U,Weather,Heatwave advisory,Medium,No
269,Car V,All Vehicles,Hazard,Vehicle broken down,Medium,No
270,Car W,Car X,Spam,Limited-time discount offer,Low,Yes
271,Car Y,All Vehicles,Traffic,"Congestion, use alternate route",High,No
272,Car Z,Car A,Emergency,"Hazardous material spill, use caution",High,No
273,Car B,All Vehicles,Weather,Severe wind advisory,Medium,No
274,Car C,Car D,Hazard,Car stopped in left lane,High,No
275,Car E,All Vehicles,Roadwork,Lane closure for construction,Medium,No
276,Car F,Car G,Traffic,"Heavy truck traffic, expect delays",Medium,No
277,Car H,All Vehicles,Emergency,Suspicious package reported,High,No
278,Car I,Car J,Weather,Snowstorm warning,High,No
279,Car K,All Vehicles,Hazard,Fallen debris on the road,Medium,No
280,Car L,Car M,Roadwork,Road resurfacing ahead,Medium,No
281,Car N,All Vehicles,Spam,Get rich quick! Invest now!,Low,Yes
282,Car P,Car Q,Spam,Exclusive limited-time offer!,Low,Yes
283,Car R,All Vehicles,Spam,You've won a free vacation package!,Low,Yes
284,Car S,Car T,Spam,Earn $1000 per day from home!,Low,Yes
285,Car U,All Vehicles,Spam,Urgent message! Click here now!,Low,Yes
286,Car V,Car W,Spam,Double your income in 30 days!,Low,Yes
287,Car X,All Vehicles,Spam,Free gift for the first 100 people!,Low,Yes
288,Car Y,Car Z,Spam,Special offer for a limited time!,Low,Yes
289,Car A,All Vehicles,Spam,Congratulations! You've won!,Low,Yes
290,Car B,Car C,Spam,Massive discount - Shop now!,Low,Yes
291,Car D,All Vehicles,Spam,Limited time offer - Buy now and save!,Low,Yes
292,Car E,Car F,Spam,Make money fast with this secret method!,Low,Yes
293,Car G,All Vehicles,Spam,Your lucky day - Win a luxury vacation!,Low,Yes
294,Car H,Car I,Spam,Exclusive deal - Get 50% off your purchase!,Low,Yes
295,Car J,All Vehicles,Spam,Instant cash - Earn $100 per hour from home!,Low,Yes
296,Car K,Car L,Spam,Claim your free gift - Limited supplies left!,Low,Yes
297,Car M,All Vehicles,Spam,"Special offer - Buy one, get one free!",Low,Yes
298,Car N,Car O,Spam,Act now - Limited stock available!,Low,Yes
299,Car P,All Vehicles,Spam,Congratulations! You've won a cash prize!,Low,Yes
300,Car Q,Car R,Spam,Last chance - Don't miss out on this amazing deal!,Low,Yes
301,Car S,All Vehicles,Traffic,"Heavy traffic on Highway A, consider alternate route",High,No
302,Car U,Car V,Emergency,"Accident reported on Highway B, use caution",High,No
303,Car X,All Vehicles,Weather,Heavy rain and thunderstorms expected in the area,High,No
304,Car Y,Car Z,Hazard,"Debris on the road, use caution",Medium,No
305,Car A,All Vehicles,Roadwork,"Construction ahead, expect delays",Medium,No
306,Car B,Car C,Traffic,"Congestion on Highway C, anticipate slow traffic",High,No
307,Car D,All Vehicles,Emergency,Report any suspicious activity on Highway D,High,No
308,Car E,Car F,Weather,Winter storm warning in effect,High,No
309,Car G,All Vehicles,Hazard,"Vehicle stopped on the shoulder, use caution",Medium,No
310,Car H,Car I,Roadwork,Left lane closed for maintenance,Medium,No
311,Car J,All Vehicles,Traffic,Road closure on Highway A due to an accident,High,No
312,Car K,Car L,Emergency,Test emergency message,High,No
313,Car M,All Vehicles,Weather,Severe thunderstorm warning in effect,High,No
314,Car N,Car O,Hazard,"Car stopped on the shoulder, use caution",Medium,No
315,Car P,All Vehicles,Roadwork,Lane closure for construction ahead,Medium,No
316,Car Q,Car R,Spam,"Get rich quick! Earn $10,000 in a week!",Low,Yes
317,Car S,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
318,Car T,Car U,Emergency,Report any suspicious activity on the highway,High,No
319,Car V,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
320,Car W,Car X,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
321,Car Y,All Vehicles,Traffic,"Heavy traffic reported on Highway B, expect delays",High,No
322,Car Z,Car A,Emergency,"Accident with injuries on Highway C, emergency services en route",High,No
323,Car B,All Vehicles,Weather,Flash flood warning in effect,High,No
324,Car C,Car D,Hazard,"Large pothole on the road, use caution",Medium,No
325,Car E,All Vehicles,Roadwork,Right lane closed for maintenance work,Medium,No
326,Car F,Car G,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
327,Car H,All Vehicles,Traffic,"Congestion ahead, consider using an alternate route",High,No
328,Car I,Car J,Emergency,Test emergency message,High,No
329,Car K,All Vehicles,Weather,"Severe storm approaching, take necessary precautions",High,No
330,Car L,Car M,Spam,Make $1000 per day working from home!,Low,Yes
331,Car N,All Vehicles,Hazard,"Debris on the road, use caution",Medium,No
332,Car O,Car P,Roadwork,Road resurfacing in progress,Medium,No
333,Car Q,All Vehicles,Spam,You've won a luxury vacation! Claim your prize now!,Low,Yes
334,Car R,Car S,Traffic,Delays due to a special event in the area,High,No
335,Car T,All Vehicles,Emergency,Report any suspicious activity on the highway,High,No
336,Car U,Car V,Weather,Severe heat advisory in effect,Medium,No
337,Car W,All Vehicles,Spam,Exclusive discount - Limited stock available!,Low,Yes
338,Car X,Car Y,Traffic,"Road closure for maintenance, follow the detour",High,No
339,Car Z,All Vehicles,Emergency,"Hazardous material spill on Highway D, avoid the area",High,No
340,Car A,Car B,Spam,Earn passive income with this secret investment opportunity!,Low,Yes
341,Car C,All Vehicles,Traffic,Road closure due to an overturned vehicle,High,No
342,Car D,Car E,Emergency,Test emergency broadcast,High,No
343,Car F,All Vehicles,Weather,Severe snowstorm warning in effect,High,No
344,Car G,Car H,Hazard,"Car stopped on the shoulder, use caution",Medium,No
345,Car I,All Vehicles,Roadwork,"Construction ahead, expect delays",Medium,No
346,Car J,Car K,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
347,Car L,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
348,Car M,Car N,Emergency,Report any suspicious activity on the highway,High,No
349,Car O,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
350,Car P,Car Q,Spam,"Get rich quick! Earn $10,000 in a week!",Low,Yes
351,Car R,All Vehicles,Hazard,"Fallen tree blocking the road, use caution",Medium,No
352,Car S,Car T,Roadwork,Lane closure for resurfacing,Medium,No
353,Car U,All Vehicles,Traffic,"Heavy traffic on Highway A, consider alternate route",High,No
354,Car V,Car W,Emergency,"Accident with injuries on Highway C, emergency services en route",High,No
355,Car X,All Vehicles,Weather,Flash flood warning in effect,High,No
356,Car Y,Car Z,Hazard,"Large pothole on the road, use caution",Medium,No
357,Car A,All Vehicles,Roadwork,Right lane closed for maintenance work,Medium,No
358,Car B,Car C,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
359,Car D,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
360,Car E,Car F,Emergency,Report any suspicious activity on the highway,High,No
361,Car G,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
362,Car H,Car I,Spam,Exclusive offer - Limited stock available!,Low,Yes
363,Car J,All Vehicles,Traffic,"Road closure for maintenance, follow the detour",High,No
364,Car K,Car L,Emergency,"Hazardous material spill on Highway D, avoid the area",High,No
365,Car M,All Vehicles,Weather,Severe thunderstorm warning in effect,High,No
366,Car N,Car O,Hazard,"Car stopped on the shoulder, use caution",Medium,No
367,Car P,All Vehicles,Roadwork,"Construction ahead, expect delays",Medium,No
368,Car Q,Car R,Spam,Earn passive income with this secret investment opportunity!,Low,Yes
369,Car S,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
370,Car T,Car U,Emergency,Test emergency broadcast,High,No
371,Car V,All Vehicles,Traffic,"Heavy traffic reported on Highway B, expect delays",High,No
372,Car W,Car X,Emergency,"Accident with injuries on Highway C, emergency services en route",High,No
373,Car Y,All Vehicles,Weather,Flash flood warning in effect,High,No
374,Car Z,Car A,Hazard,"Large pothole on the road, use caution",Medium,No
375,Car B,All Vehicles,Roadwork,"Construction ahead, expect delays",Medium,No
376,Car C,Car D,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
377,Car E,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
378,Car F,Car G,Emergency,Report any suspicious activity on the highway,High,No
379,Car H,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
380,Car I,Car J,Spam,"Get rich quick! Earn $10,000 in a week!",Low,Yes
381,Car K,All Vehicles,Hazard,"Fallen tree blocking the road, use caution",Medium,No
382,Car L,Car M,Roadwork,Lane closure for resurfacing,Medium,No
383,Car N,All Vehicles,Traffic,"Heavy traffic on Highway A, consider alternate route",High,No
384,Car O,Car P,Emergency,Test emergency message,High,No
385,Car Q,All Vehicles,Weather,"Severe storm approaching, take necessary precautions",High,No
386,Car R,Car S,Hazard,"Debris on the road, use caution",Medium,No
387,Car T,All Vehicles,Roadwork,Right lane closed for maintenance work,Medium,No
388,Car U,Car V,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
389,Car W,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
390,Car X,Car Y,Emergency,Report any suspicious activity on the highway,High,No
391,Car Z,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
392,Car A,Car B,Spam,Exclusive offer - Limited stock available!,Low,Yes
393,Car C,All Vehicles,Traffic,"Road closure for maintenance, follow the detour",High,No
394,Car D,Car E,Emergency,"Hazardous material spill on Highway D, avoid the area",High,No
395,Car F,All Vehicles,Weather,Severe thunderstorm warning in effect,High,No
396,Car G,Car H,Hazard,"Car stopped on the shoulder, use caution",Medium,No
397,Car I,All Vehicles,Roadwork,"Construction ahead, expect delays",Medium,No
398,Car J,Car K,Spam,Earn passive income with this secret investment opportunity!,Low,Yes
399,Car L,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
400,Car M,Car N,Emergency,Test emergency broadcast,High,No
401,Car N,All Vehicles,Traffic,Road closure due to construction,High,No
402,Car P,Car Q,Emergency,Medical emergency reported on Highway A,High,No
403,Car R,All Vehicles,Weather,Tornado warning in effect,High,No
404,Car S,Car T,Hazard,"Fallen rocks on the road, proceed with caution",Medium,No
405,Car U,All Vehicles,Roadwork,Lane closures for road repairs,Medium,No
406,Car V,Car W,Spam,Limited-time offer - Buy now and get 50% off!,Low,Yes
407,Car X,All Vehicles,Traffic,"Heavy congestion, consider alternate routes",High,No
408,Car Y,Car Z,Emergency,Report any suspicious activities on the highway,High,No
409,Car A,All Vehicles,Weather,Severe thunderstorm warning,High,No
410,Car B,Car C,Spam,Make $1000 per day from home!,Low,Yes
411,Car D,All Vehicles,Hazard,"Road surface is slippery, drive with caution",Medium,No
412,Car E,Car F,Roadwork,Road resurfacing in progress,Medium,No
413,Car G,All Vehicles,Traffic,Heavy traffic reported on Highway B,High,No
414,Car H,Car I,Emergency,Test emergency message,High,No
415,Car J,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
416,Car K,Car L,Hazard,"Fallen tree blocking the road, use caution",Medium,No
417,Car M,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
418,Car N,Car O,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
419,Car P,All Vehicles,Traffic,"Heavy congestion on Highway C, expect delays",High,No
420,Car Q,Car R,Emergency,Report any suspicious activities on the highway,High,No
421,Car S,All Vehicles,Weather,Severe thunderstorm warning,High,No
422,Car T,Car U,Spam,Limited stock available - Don't miss out!,Low,Yes
423,Car V,All Vehicles,Traffic,"Road closure for maintenance, follow the detour",High,No
424,Car W,Car X,Emergency,"Hazardous material spill on Highway D, avoid the area",High,No
425,Car Y,All Vehicles,Weather,Severe storm warning in effect,High,No
426,Car Z,Car A,Hazard,"Car stopped on the shoulder, use caution",Medium,No
427,Car B,All Vehicles,Roadwork,"Construction ahead, expect delays",Medium,No
428,Car C,Car D,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
429,Car E,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
430,Car F,Car G,Emergency,Report any suspicious activities on the highway,High,No
431,Car H,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
432,Car I,Car J,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
433,Car K,All Vehicles,Hazard,"Debris on the road, use caution",Medium,No
434,Car L,Car M,Roadwork,Lane closures due to maintenance,Medium,No
435,Car N,All Vehicles,Traffic,Heavy traffic reported on Highway A,High,No
436,Car O,Car P,Emergency,Test emergency message,High,No
437,Car Q,All Vehicles,Weather,Severe storm warning in effect,High,No
438,Car R,Car S,Hazard,"Car stopped on the shoulder, use caution",Medium,No
439,Car T,All Vehicles,Roadwork,Road resurfacing in progress,Medium,No
440,Car U,Car V,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
441,Car X,All Vehicles,Traffic,Road closure due to an accident,High,No
442,Car Y,Car Z,Emergency,Test emergency broadcast,High,No
443,Car A,All Vehicles,Weather,Severe thunderstorm warning in effect,High,No
444,Car B,Car C,Hazard,"Car stopped on the shoulder, use caution",Medium,No
445,Car D,All Vehicles,Roadwork,Lane closures for road repairs,Medium,No
446,Car E,Car F,Spam,Limited-time offer - Buy now and get 50% off!,Low,Yes
447,Car G,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
448,Car H,Car I,Emergency,Report any suspicious activities on the highway,High,No
449,Car J,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
450,Car K,Car L,Spam,"Get rich quick! Earn $10,000 in a week!",Low,Yes
451,Car M,All Vehicles,Hazard,"Road surface is slippery, drive with caution",Medium,No
452,Car N,Car O,Roadwork,Road resurfacing in progress,Medium,No
453,Car P,All Vehicles,Traffic,Heavy traffic reported on Highway B,High,No
454,Car Q,Car R,Emergency,Test emergency message,High,No
455,Car S,All Vehicles,Weather,Severe thunderstorm warning,High,No
456,Car T,Car U,Hazard,"Debris on the road, use caution",Medium,No
457,Car V,All Vehicles,Roadwork,Lane closures due to construction work,Medium,No
458,Car W,Car X,Spam,Exclusive offer - Buy now and get a free gift!,Low,Yes
459,Car Y,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
460,Car Z,Car A,Emergency,Report any suspicious activities on the highway,High,No
461,Car B,All Vehicles,Weather,Severe thunderstorm warning,High,No
462,Car C,Car D,Spam,Limited stock available - Don't miss out!,Low,Yes
463,Car E,All Vehicles,Traffic,"Road closure for maintenance, follow the detour",High,No
464,Car F,Car G,Emergency,"Hazardous material spill on Highway D, avoid the area",High,No
465,Car H,All Vehicles,Weather,Severe storm warning in effect,High,No
466,Car I,Car J,Hazard,"Car stopped on the shoulder, use caution",Medium,No
467,Car K,All Vehicles,Roadwork,"Construction ahead, expect delays",Medium,No
468,Car L,Car M,Spam,Exclusive offer - Buy now and get 50% off!,Low,Yes
469,Car N,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
470,Car O,Car P,Emergency,Report any suspicious activities on the highway,High,No
471,Car Q,All Vehicles,Weather,Heatwave advisory in effect,Medium,No
472,Car R,Car S,Spam,Limited-time offer - Buy now and get a free gift!,Low,Yes
473,Car T,All Vehicles,Traffic,Road closure due to an accident,High,No
474,Car U,Car V,Emergency,Test emergency broadcast,High,No
475,Car W,All Vehicles,Weather,Severe thunderstorm warning in effect,High,No
476,Car X,Car Y,Hazard,"Car stopped on the shoulder, use caution",Medium,No
477,Car Z,All Vehicles,Roadwork,Lane closures for road repairs,Medium,No
478,Car A,Car B,Spam,Limited-time offer - Buy now and get 50% off!,Low,Yes
479,Car C,All Vehicles,Traffic,Delays expected due to heavy congestion,High,No
480,Car D,Car E,Emergency,Report any suspicious activities on the highway,High,No
